"Name","Number_of_Books"
A Wallis Budge E A Wallis Budge,1
A. A. Walde,2
A. Bertram Chandler,3
A. Bester,2
A. E. Van / Leinster Vogt,1
A. E. Van Vogt,2
A. R. Steber,2
A.B.C. Contre Poirot Agatha Christie,1
A.E. Wallis Budge,1
A.L. Ed. Includes Alexander,1
Aa. Vv.,1
Aaron Copland,1
Aaron Shepard,1
Abraham Merritt,22
Adapt Du Roman Original De Charles Dickens Par Grant Mcintyr,1
Adapt Du Roman Original De Charles Dickens Par Tom Jokic (Tr,2
Adapted By),1
Adolphe Danziger de Castro,1
Aft),2
Agata Christie,1
Agatha Associés Contre Le Crime Christie,1
Agatha Christie,484
Agatha Christie Mallowan,2
Agatha Destination Inconnue Christie,2
Agatha La Mort Dans Les Nuages Christie,1
Agatha Miss Marple Au Club Du Mardi Christie,2
Agatha Poirot Joue Le Jeu Christie,2
Agatha. Christie,1
Aka George Sanders ),1
Alan Barrister,1
Albert K Owen,1
Alden H. Norton,3
Alec Templeton,1
Alexander Blade,4
Alexander C. Irvine,1
Alfred / Derleth Bester,1
Alfred Bester Philip K Dick,2
Alfred H. Bill,1
Alfred Hitchcock,2
Algernon Blackwood,7
Algernon Blackwood Arthur Conan Doyle,1
Algis Budrys,1
Alistair Maclean,2
Allison V. Harding,2
Alma Flor Ada,1
Alva Mitchell,2
Alva Mitchell Frederick E. Giesecke,1
Ambrose,1
Ambrose (Adapted. Bierce,6
Ambrose / Illustrated By Ferebe Streett Bierce,1
Ambrose Bierce,346
Ambrose Bierce Edgar Allan Poe,4
Ambrose Bierce Kurd Laßwitz,1
Ambrose Bierce/Roy Morris Jr.,1
Ambrose Ed: Jackson Bierce,1
Ambrose Gwinnett Bierce,12
Ambrose) Fadiman Bierce,1
Ambrose. Bierce,7
Ambrose. Compiled By Carroll D. Hall. Foreword By Joseph Henry Jackson. Bierce,1
Ambrose. Introduction By Clifton Fadiman. Bierce,2
Ambrose. Introduction By George Sterling Bierce,1
Amelia Ann Blanford Edwards,1
Amelia Edwards,4
Andersen Poul,2
Andre Norton,17
Andrew,4
Andrew // Lyon Offutt,1
Andrew B. Crichton,1
Andrew Crichton,60
Andrew Crichton Christopher William Koch,2
Andrew Crichton John Blackadder,1
Andrew Crichton Prideaux John Selby,1
Andrew Crichton William Jardine,1
Andrew Crichton William Swainson,1
Andrew Humphries,5
Andrew J Offutt,2
Andrew J. Offutt,12
Andrew J. Offutt Robert E. Howard,1
Andrew Lang,21
Andrew Macphail,1
Andrew Offutt,7
Andrew S. Lang,1
Andrew. Crichton,6
Angela Cohen,1
Anna Gooding Dodge,1
Anne Bradstreet,11
