"Name","Number_of_Books"
) A. E. Coppard,1
) Fitz-James O'Brien,1
) Frederick Sanders,1
+),2
.,6
A,1
A Wallis Budge E A Wallis Budge,1
A. Bertram Chandler,12
A. Boucher,2
A. E. Van,1
A. E. Van Vog,1
A. E. Van Vogt,6
A. Merritt,1
A. R. Denison,1
A.B.C. Contre Poirot Agatha Christie,1
A.E. Van Vogt,4
A.E. Wallis Budge,1
A.L. Ed. Includes Alexander,1
A.L. Lomax,1
A.P. Sinnett,1
Aaron Copland,1
Abraham Merritt,20
Adam Chase,1
Addison Steele Ii,3
Afterword,1
Agatha Associés Contre Le Crime Christie,1
Agatha Christie,411
Agatha Christie Mallowan,2
Agatha Destination Inconnue Christie,2
Agatha La Mort Dans Les Nuages Christie,1
Agatha Miss Marple Au Club Du Mardi Christie,2
Agatha Poirot Joue Le Jeu Christie,2
Alan Barclay,1
Alan Barrister,1
Alan Burt Akers,1
Alan Dirkson,4
Alan Donovan August Derleth,1
Alan E. Nourse,2
Albert Emerson Brown,1
Albert Hernhunter),3
Albert K. Owen,1
Alden H.,2
Alden H. Norton,5
Alec Templeton,1
Alex,1
Alex Apostolides,4
Alex Kirs,3
Alexander Blade,2
Alexander C. Irvine,1
Alexander Pope,1
Alexander Winston,1
Alexei,7
Alfred,2
Alfred / Derleth Bester,1
Alfred Bester,2
Alfred Coppel,4
Alfred H. Bill,1
Alfred Hitchcock,7
Alfred Hitchcock (Richard Hardwick,1
Alfred Jr. Coppel,1
Alfred L. Hampson,2
Alfred Leete Hampson,1
Alfred Lord Tennyson,1
Algernon Blackwood,13
Algernon Blackwood Arthur Conan Doyle,1
Algis Budrys,15
Algis J. Budrys,2
Alice Eleanor Jones,1
Alice-Mary Schnirring,1
Alistair Maclean,2
Allan Masterson,1
Allen J. Hubin,2
Allison V Harding,1
Allison V. Harding,4
Allison V. Harding),1
Alma Flor Ada,1
Alois Piringer,1
Alphajuri,1
Alva Mitchell,2
Alva Mitchell Frederick E. Giesecke,1
Alvin Redman,1
Alvin Taylor,1
Alyssa Harad,2
Amazing (A. Bertram Chandler,3
Amazing (Charles Cloukey,4
Amazing (Craig Browning,1
Amazing (Kate Wilhelm,1
Amazing (Robert Moore Williams,1
Ambrose,1
Ambrose / Illustrated By Ferebe Streett Bierce,1
Ambrose Bierce,289
Ambrose Bierce/Roy Morris Jr.,1
Ambrose Ed: Jackson Bierce,1
Ambrose Gwinnett Bierce,12
Ambrose) Fadiman Bierce,1
Ambrose.,2
Ambrose. Bierce,7
Ambrose. Compiled By Carroll D. Hall. Foreword By Joseph Henry Jackson. Bierce,1
Ambrose. Introduction By Clifton Fadiman. Bierce,1
Amelia B. Edwards,1
Amelia Edwards,4
Amy Bllom,1
Anatole France,1
Andersen Poul,2
Andre Norton,18
Andre Norton),1
Andrew,4
Andrew Crichton,63
Andrew Crichton Christopher William Koch,2
Andrew Crichton John Blackadder,1
Andrew Crichton Prideaux John Selby,1
Andrew Crichton William Jardine,1
Andrew Crichton William Swainson,1
Andrew Hecht,1
Andrew Humphries,3
Andrew J Offutt,2
Andrew J. Offutt,8
Andrew J. Offutt Robert E. Howard,1
Andrew Lang,11
Andrew Offutt,5
Andrew Roberts,2
Andrew. Crichton,3
Angel Roberts,2
Angela Cohen,1
Angus,1
Ann Ward Radcliffe,1
Anna Gooding Dodge,1
Anne Bradstreet,9
Anne Bradstreet Phillis Wheatley Marianne Moore Sylvia Plath Emily Dickinson Hilda Doolittle Edna St. Vincent Millay Amy Lowell Emma Lazarus,1
Anonymous,1
Anthony Andrews,2
Anthony Boucher,6
Anthony M. Rud,1
Antonella Caputo Arthur Conan Doyle,1
Antonio Machado,1
Archie Goodwin,1
Arnol Bennett,1
Art Lewis,1
Arthur,1
Arthur Burke Leigh Brackett,4
Arthur C. Clarke,17
Arthur C. Clarke Isaac Asimov,1
Arthur Conan,2
Arthur Conan  Haining Doyle,1
Arthur Conan Doyle,293
Arthur Conan Doyle Jack London,1
Arthur Conan Doyle Sir,2
Arthur Conan) Haycraft Doyle,1
Arthur Conan. Doyle,2
Arthur Dekker Savage,1
Arthur G. Hill,3
Arthur G. Strangland,2
Arthur J. Burke,1
Arthur J. Burks,4
Arthur J. Cox,2
Arthur Leo Zagat,1
Arthur Machen,9
Arthur Miller,18
Arthur Porges,6
Arthur Sellings,1
Arthur T. Harris,1
Arthur Tofte,1
Arthur W. Saha,1
Arthur Woodward,1
Arthurs C. Clarke,1
Aryan Theosophical Press Helena Petrovna Blavatsky,4
Asimov'S (Larry Niven,3
Astonishing (James Maccreigh,1
Astounding (C. L. Moore,1
At Al,1
August,2
August . Derleth,1
August / Beaumont Derleth,1
August / Powell Derleth,2
August / Vision Book #3 / H. Lawrence Hoffman Derleth,1
August Arnold,1
August Derleth,1003
August Derleth ),2
August Derleth Contributions By Alice Clear Matthews,1
August Derleth Ed.,1
August Derleth Edited By Dorothy Mcilwraith With Stories By Carl Jacobi,1
August Derleth Edited By Dorothy Mcilwraith With Stories Edmond Hamilton,1
August Derleth Edited By Jules Saltman With Stories By Philip K. Dick,1
August Derleth Editior,1
August Derleth George T. Wetzel,1
August Derleth H. P.,1
August Derleth Society,1
August Derleth),3
August Derleth.,1
August Derleth],1
August Ed. Derleth,3
August Editor Derleth,1
August Editor) Derleth,1
August Science Fiction) Derleth,2
August W. Beaumont Derleth,1
August W. Derleth,14
August William Derleth,71
August William. Derleth,1
August. Derleth,13
August. Forward By Donald Wandrei Derleth,1
Avram / Rohmer Davidson,3
Avram Davidson,18
Avram Davidson),2
B. K. Filer,4
Babette Rosmond,1
Baines Malory,1
Baird Searles),1
Bantam Books,1
Barry B. Longyear,1
Barry Malzberg,2
Barry N. Malzberg,12
Bart Somers,2
Basil Copper,5
Basil Wells,11
Ben Hecht,1
Ben Ireland Samuel A. Mayo,1
Ben King Walt Whitman,4
Ben P. Indick,1
Benj. Miller,1
Benjamin Miller,3
Berkeley Livingston,1
Bernice Burton Brooke,1
Bernice Carey,1
Beth G. Fawkes August W. Derleth,1
Betty M. Owen,5
Betty Swinford,1
Bidpai.,2
Bierce,2
Bierce Ambrose,3
Bierce.Ambrose,1
Bill Brown,1
Bill Brown),1
Bill Warren,1
Bjorn Nyberg,9
Björn Nyberg,2
Blake E. Peterson Gary L. Musser,3
Blavatsky H. P.,33
Blavatsky Helena,1
Blavatsky Helena P.,1
Blavatsky Helena Petrovna,2
Blavatsky Helena Petrowna,1
Blavatsky Héléna-Pétrowna,2
Bob,1
Bob Pepper,1
Bob Shaw,5
Boisgilbert,1
Boisgilbert Edmund,1
Boris De Zirkoff Helena Petrovna Blavatsky,2
Boris Karloff,1
Boris Vallejo,1
Borja García Bercero,2
Brackett,6
Brackett Leigh,38
Brackett Leigh / Robert Silverberg,1
Brackett Leigh.,3
Bram Stoker,27
Bram Stoker Edgar Allan Poe,3
Brent Ashabranner,1
Brett Sterling),1
Brian Lumley,4
Brian M. Stableford),1
Brian W. Aldiss,4
British Museum,2
Brooks Noel,1
Brother David Steindl-Rast,1
Brothers Paul W. Fairman,2
Bruce Catton,1
Bruce D. Arthurs),1
Bruce Hunsberger,2
Bruce Mcallister,2
Bruce W. Ronald,4
Bryce Walton,5
Budge,3
Budge E. A. Wallis,6
Budge E. A. Wallis Budge,4
Budge E. A. Wallis Sir,10
Budge E.A.Wallis Budge E.A.Wallis,4
Budge Wallis E. A.,1
Bulfinch Thomas,11
Burton Armus,2
C S Forester,1
C. A. Cador,2
C. B. Giilford,1
C. B. Gilford,3
C. C. Macapp,16
C. F. Birdsall,1
C. G. Cobb),1
C. I Cento Linguaggi Dei Bambini. L'Approccio Di Reggio Emilia All'Educazione Dell'Infanzia Edwards,1
C. J. Cherryh,8
C. J. Wedlake,1
C. L. Grant,4
C. L. Moore,12
C. M. Kornbluth,5
C. Merton Babcock,1
C. S. Forester,1
C. W. E. Bigsby,1
C.C. Macapp,1
C.J. Cutliffe,1
C.J. Cutliffe Hyne,2
Cain Bierce,1
Caitlin Matthews,1
Captain S. P. Meek,2
Carl Jacobi,18
Carl Sandburg,1
Carleton Grindle,1
Carll Jacobi,1
Carlton Smith,1
Carol Costello,1
Carol Easton,2
Carol Emshwiller,2
Carole Argand Degoumois,1
Carole Marsh,2
Caroline Leavitt,2
Carter,1
Carter Dickson,1
Carter Lin,5
Carter Sprague,4
Carys Cragg,3
Catherine Austen,1
Cecilia Dart-Thornton,1
Cele Goldsmith,5
Chad Oliver,5
Chad Oliver),1
Chandler Borssard,3
Charles,9
Charles A. Stearns,7
Charles A. Stearns),1
Charles A. Stearns) Hendryx,1
