"Name","Title"
) A. E. Coppard,THE SUPERNATURAL READER
) Fitz-James O'Brien,THE SUPERNATURAL READER
) Frederick Sanders,WEIRD TALES (Pulp Magazine) May 1952; The Lamia in the Penthouse cover/story by Thorp McClusky; The Night Road by August Derleth; Father's Vampire by Alvin Taylor and Len J. Moffatt;
+),"The Magazine of FANTASY AND SCIENCE FICTION (F&SF): August, Aug. 1952"
+),"The Magazine of FANTASY AND SCIENCE FICTION (F&SF): August, Aug. 1952"
.,THE OUTER SIDE OF THE MOON. (Berkley Books # G249 );
.,WORLD OF TOMORROW. (Berkley Books # G-163 );
.,TIME TO COME. (Berkley Books # G-189 );
.,WORLD OF TOMORROW. (Berkley Books # G-163 );
.,WORLD'S ONE HUNDRED BEST SHORT STORIES.VOLUME SIX COURAGE. (VOL 6 VI ONLY FROM 10 VOL SET)100.;. includes ; TRUMPET SOUNDS BY MRR;CLOAK BY NG; FAME'S LITTLE DAY By SOJ; GREAT rushing of wings BY EMMA L SQUIER; HORSEMAN IN SKY by AB
.,WORLD'S ONE HUNDRED BEST SHORT STORIES.VOLUME SIX COURAGE. (VOL 6 VI ONLY FROM 10 VOL SET)100.;. includes TRUMPET SOUNDS BY MRR; CLOAK BY NG; FAMES LITTLE DAY By SOJ; Neat rushing of wings BY EMMA L SQUIER; HORSEMAN IN SKY by AM
A,PORTALS OF TOMORROW: The Altruists; The Hypnoglyph; Testament of Andros; Gratitude Gruaranteed; Rustle of Wings; The Other Tiger; Civilized; Stickeney and the Critic; The Word; Hermit on Bikini; Jezebel; D. Pl from Tomorrow; Potential; Eye for Iniquity
A Wallis Budge E A Wallis Budge,The Babylonian Story of the Deluge and the Epic of Gilgamish - 1920
A. Bertram Chandler,"IF Worlds of Science Fiction: April, Apr. 1967 ('The Road to the Rim')"
A. Bertram Chandler,IF Worlds of Science Fiction: May 1967 ('Spaceman!'; 'The Road to the Rim')
A. Bertram Chandler,Worlds of IF Science Fiction May 1967 Vol. 17 No. 5
A. Bertram Chandler,"IF Worlds of Science Fiction: April, Apr. 1967 ('The Road to the Rim')"
A. Bertram Chandler,"IF Worlds of Science Fiction: April, Apr. 1967 ('The Road to the Rim'; 'The Iron Thorn')"
A. Bertram Chandler,IF Worlds of Science Fiction: May 1967 ('Spaceman!'; 'The Road to the Rim')
A. Bertram Chandler,"IF Worlds of Science Fiction: April, Apr. 1967 ('The Road to the Rim')"
A. Bertram Chandler,"IF Worlds of Science Fiction: September, Sept. 1966"
A. Bertram Chandler,"IF Worlds of Science Fiction: October, Oct. 1966 ('Neutron Star'; 'Snow White and the Giants')"
A. Bertram Chandler,"IF Worlds of Science Fiction: September, Sept. 1966"
A. Bertram Chandler,IF Worlds of Science Fiction: May 1967 ('Spaceman!'; 'The Road to the Rim')
A. Bertram Chandler,"IF Worlds of Science Fiction: September, Sept. 1966"
A. Boucher,"The Magazine of FANTASY AND SCIENCE FICTION (F&SF): August, Aug. 1952"
A. Boucher,"The Magazine of FANTASY AND SCIENCE FICTION (F&SF): August, Aug. 1952"
A. E. Van,D-53: The Weapn Shops of Isher / Gateway to Elsewhere; D-99: The Galactic Breed / Conquest of the Space Sea; F-104: Mayday Orbit / No Man's World; D-517: Bring Back Yesterday / The Trouble with Tyco
A. E. Van Vog,"Worlds of If Science Fiction, Vol.15 No.3, March 1965"
A. E. Van Vogt,Beachheads in Space (Berkley Books # G-77 );
A. E. Van Vogt,AWARD SCIENCE FICTION READER
A. E. Van Vogt,AWARD SCIENCE FICTION READER
A. E. Van Vogt,Beachheads in Space (Berkley Books # G-77 );
A. E. Van Vogt,STRANGE PORTS OF CALL
A. E. Van Vogt,STRANGE PORTS OF CALL
A. Merritt,WEIRD TALES WINTER 1973
A. R. Denison,"A Reclassification of the Pennsylvanian System in the Northern Mid-Continent Region (pp. 13-15) AND The Kelsey Dome, Upshur County, Texas (pp. 16-17) AND Granite and Limestone Velocity Determination in Arbuckle Mountains, Oklahoma (pp. 18-19) AND Origin"
A.B.C. Contre Poirot Agatha Christie,A.B.C. contre poirot Agatha Christie
A.E. Van Vogt,THE OUTER SIDE OF THE MOON. (Berkley Books # G249 );
A.E. Van Vogt,Classic Science Fiction: The First Golden Age
A.E. Van Vogt,Beyond Time and Space
A.E. Van Vogt,Men Against the Stars
A.E. Wallis Budge,EGYPTIAN RELIGION
A.L. Ed. Includes Alexander,POEMS THAT THAT TOUCH THE HEART
A.L. Lomax,"The Oregon Historical Quarterly, Volume XXXII Number 2, June 1931"
A.P. Sinnett,"The Story of Atlantis: A Geographical, Historical, and Ethnological Sketch"
Aaron Copland,Twelve Poems of Emily Dickinson Set to Music by Aaron Copland (Voice and Piano)
Abraham Merritt,The Metal Monster
Abraham Merritt,Dwellers in the mirage
Abraham Merritt,"Le visage dans l'abîme. Merritt, Abraham et Chwat, Paul"
Abraham Merritt,The Moon Pool
Abraham Merritt,Dwellers in the Mirage
Abraham Merritt,The Black Wheel
Abraham Merritt,The Moon Pool
Abraham Merritt,The Ship of Ishtar (Collier Nucleus Fantasy & Science Fiction)
Abraham Merritt,The Black Wheel
Abraham Merritt,The Black Wheel
Abraham Merritt,Dwellers in the Mirage
Abraham Merritt,The Moon Pool
Abraham Merritt,Dwellers in the Mirage
Abraham Merritt,The Moon Pool
Abraham Merritt,The Moon Pool
Abraham Merritt,The Black Wheel
Abraham Merritt,Face in the Abyss
Abraham Merritt,The Black Wheel
Abraham Merritt,The Moon Pool
Abraham Merritt,The Moon Pool
Adam Chase,"The Most Thrilling Science Fiction, Number 8, Spring 1968"
Addison Steele Ii,"FANTASTIC Stories: October, Oct. 1975"
Addison Steele Ii,"FANTASTIC Stories: October, Oct. 1975"
Addison Steele Ii,"FANTASTIC Stories: October, Oct. 1975"
Afterword,The Age of Fable
Agatha Associés Contre Le Crime Christie,"Associés contre le crime Christie, Agatha"
Agatha Christie,The A. B. C. Murders.
Agatha Christie,THEY CAME TO BAGHDAD
Agatha Christie,Dead Man's Folly
Agatha Christie,Death in the Air
Agatha Christie,A POCKET FULL OF RYE
Agatha Christie,Postern of Fate
Agatha Christie,Curtain
Agatha Christie,"13 For Luck"
Agatha Christie,CARDS ON THE TABLE
Agatha Christie,THE MOVING FINGER
Agatha Christie,TOWARDS ZERO
Agatha Christie,By the Pricking of My Thumbs
Agatha Christie,Death in the Air
Agatha Christie,Ordeal By Innocence
Agatha Christie,Appointment with Death
Agatha Christie,A Caribbean Mystery
Agatha Christie,The Regatta Mystery
Agatha Christie,A Pocket full of Rye
Agatha Christie,Remembered Death
Agatha Christie,Murder After Hours
Agatha Christie,A Holiday for Murder
Agatha Christie,Third Girl
Agatha Christie,THE BOOMERANG CLUE (vt - 'Why Didn't They Ask Evans?')
Agatha Christie,The Seven Dials Mystery
Agatha Christie,Mrs. McGinty's Dead (A Hercule Poirot Mystery)
Agatha Christie,"13 Clues for Miss Marple"
Agatha Christie,"7 Dials Mystery"
Agatha Christie,Murder In Three Acts
Agatha Christie,Hickory Dickory Death
Agatha Christie,Postern of Fate
Agatha Christie,Sleeping Murder
Agatha Christie,Curtain
Agatha Christie,Evil Under The Sun
Agatha Christie,Hickory Dickory Death
Agatha Christie,Elephants Can Remember
Agatha Christie,Seven Dials Mystery
Agatha Christie,PASSENGER TO FRANKFURT
Agatha Christie,Funerals Are Fatal
Agatha Christie,Murder with Mirrors #6114
Agatha Christie,Murder at Hazelmoor
Agatha Christie,ELEPHANTS CAN REMEMBER
Agatha Christie,Hallowe'En Party: a Hercule Poirot Murder Mystery
Agatha Christie,The Secret Adversary
Agatha Christie,Passenger to Frankfurt
Agatha Christie,Jeux De Glaces
Agatha Christie,Dead Man's Folly
Agatha Christie,Murder After Hours
Agatha Christie,"Agatha Christie. Le Crime du golf : EMurder on the linkse. Traduit de l'anglais par Marc Logé Christie, Agatha et Logé, Marc"
Agatha Christie,"Agatha Christie. Le Crime du golf : EMurder on the linkse. Traduit de l'anglais par Marc Logé Christie, Agatha et Logé, Marc"
Agatha Christie,"Agatha Christie. Le Crime du golf : EMurder on the linkse. Traduit de l'anglais par Marc Logé Christie, Agatha et Logé, Marc"
Agatha Christie,Lord Edgware Dies
Agatha Christie,So Many Steps to Death
Agatha Christie,A Caribbean Mystery
Agatha Christie,A Murder is Announced
Agatha Christie,Agatha Christie - They Came to Baghdad
Agatha Christie,Sleeping Murder
Agatha Christie,Sleeping Murder
Agatha Christie,Elephants Can Remember (The Agatha Christie Mystery Collection)
Agatha Christie,AGATHA CHRISTIE - MURDER ON THE LINKS
Agatha Christie,Murder on the Orient Express
Agatha Christie,Curtain / Agatha Christie
Agatha Christie,The Body in The Library
Agatha Christie,Passenger to Frankfurt
Agatha Christie,Curtain
Agatha Christie,English Country House Murders
Agatha Christie,Curtain
Agatha Christie,MURDER IN THREE ACTS
Agatha Christie,Hallowe'en Party (Cover Illustration By Tom Adams)
Agatha Christie,The Mysterious Mr. Quin
Agatha Christie,Postern of Fate
Agatha Christie,Dead Man's Folly (Pocket Book)
Agatha Christie,Death on the Nile
Agatha Christie,Evil Under the Sun (Hercule Poirot)
Agatha Christie,Murder in our midst
Agatha Christie,A Caribbean Mystery
Agatha Christie,Daring Detectives : The Day the Children Vanished; Through a Dead Man's Eye; The Issappearance of Mr. Davenheim; Green Ice; The Grave Grass Quivers; The Case of the Irate Witness; Adventure of the Grice-Paterson Curse; The Headmaster; The Adventure of t
Agatha Christie,Passenger to Frankfurt
Agatha Christie,Death Comes as the End
Agatha Christie,The Moving Finger (DELL #5861)
Agatha Christie,Hallowe'en Party
Agatha Christie,Nemesis
Agatha Christie,Dead Man's Folly (Pocket Book)
Agatha Christie,DEAD MAN'S FOLLY
Agatha Christie,Sad Cypress
Agatha Christie,Curtain & The mysterious affair at Styles
Agatha Christie,Murder on the Orient Express
Agatha Christie,Crooked House
Agatha Christie,Passenger to Frankfurt
Agatha Christie,sleeping murderthe murder at the vicarage
Agatha Christie,Murder on the Orient Express : A Hercule Poirot Mystery
Agatha Christie,A Pocket Full of Rye (Miss Marple Mysteries)
Agatha Christie,Evil under the Sun
Agatha Christie,The Unexpected Guest : Travels in Afghanistan
Agatha Christie,"Les Pendules CHRISTIE, Agatha"
Agatha Christie,Elephants Can Remember
Agatha Christie,Murder on the Orient Express
Agatha Christie,Hallowe'en Party
Agatha Christie,"7 Dials Mystery"
Agatha Christie,Ordeal by Innocence
Agatha Christie,The Mysterious Mr. Quinn
Agatha Christie,The Regatta Mystery
Agatha Christie,Passenger to Frankfurt: An Extravaganza
Agatha Christie,Alfred Hitchcock's Daring Detectives
Agatha Christie,Alfred Hitchcock's Daring Detectives
Agatha Christie,Alfred Hitchcock's Daring Detectives
Agatha Christie,The Scoop & Behind the Screen
Agatha Christie,Elephants Can Remember
Agatha Christie,English Country House Murders
Agatha Christie,The Mirror Crack'd
Agatha Christie,The Boomerang Clue
Agatha Christie,Elephants Can Remember
Agatha Christie,Ordeal by Innocence
Agatha Christie,Elephants Can Remember
Agatha Christie,Passenger to Frankfurt
