"Publisher","Number_of_Books"
"(Einband: Markttredwitz) Deisenhofen bei München, Oskar Ziegler, o.J (1911).",1
- -,20
"0",2
"0 0",5
"1824",1
"1949.",1
"1955 Vision Books Farrar, Strauss & Cudahy New York",1
"1956",1
"1969",1
"1969 o Signet 4068",1
"1973",1
"1976",1
"1977: Dell (1st Ed.)",1
"1979",1
"1st.Sampson Low Marston Searle & Rivington: London",1
"45th Parallel Pr",1
": Oliver & Boyd, and Simpkin, Marshall, and Co., London c. 1838., Edinburgh",1
"A & J Publishers Inc., Boulder",1
A & W Visual Library,3
"A Berkley Medallion Book, 1970",1
"A Berkley Medallion Book, 1976",1
A DOLPHIN BOOK,2
A Dell Book [1973],1
A Fawcett Gold Medal Book / Fawcett Publications Inc [1973],1
"A Four Square Book, London",1
A Harvest Book,1
"A LAUREL CLASSIC, NEW YORK",1
A Laurel Classic,2
"A Laurel Classic, NY",1
A Leisure Book,6
"A M S Press, Incorporated",4
A Mentor Classic/ Published by The New American Library,3
"A Mentor Classic/ The New American Library, New York NY",1
"A Mentor Classic/Mentor Books/Published by The New American Library, New York",1
"A Premier Book/Published by Fawcett Publications, Inc., Greenwich, CN",1
A S Barnes & Co,1
A Tower Book,1
A Watermill Classic,2
A&B Books Publishers,1
A. L. Burt,2
"A. T. Chapman, Montreal",1
A.A. Wyn,1
A.L. Burt,1
A.W. Bruna & Zoon,1
"ABC-CLIO, LLC",1
ACE,5
ACE BOOKS,7
ACE Books,3
"ACE Books, New York",1
"ACE F SERIES,",9
ACE Fantasy Books,1
"ACE G SERIES,",8
"ACE HIGH NUMBER,",1
ACE double,1
ACE double M-101,1
"ACE, 1964",1
"ACE, NEW YORK",1
"ACE, New York, New Yorik",1
"ACE, New York, Ny,",1
"ACE, U.S.",1
"ACE., NY",1
AERIE,1
AIRMONT PUBLISHING,1
AIRMOT,1
ALBIN MICHEL,1
ALIANZA EDITORIAL,7
"AMS Press, 1972",1
ANAYA INFANTIL Y JUVENIL,2
ARKANA,1
AW Bruna,1
Abdo Pub Co,5
Acclaim Books,4
Ace,118
"Ace (1967)., New York",1
Ace (US) 1965 : ( 23 other books by this author also available.) Paperback. Daily shipping.,1
Ace 1955,1
Ace 42900,1
Ace Book,3
"Ace Book, New York",1
Ace Books,134
"Ace Books # D-388, circa 1959. 35 cents cover price.",1
Ace Books -,4
"Ace Books / Charter Communications Inc/ Grosset & Dunlap [c.1955 but later], New York",1
Ace Books 1955,2
Ace Books 1976-11-01,1
Ace Books D-36,1
"Ace Books Inc, New York, NY, U.S.A.",1
"Ace Books Inc, New York, NY, USA",18
Ace Books Inc. 1961,1
Ace Books Inc. 1965,1
"Ace Books Inc., New York",3
Ace Books January 1955,1
Ace Books January 1961,1
Ace Books January 1963,1
Ace Books January 1964,1
Ace Books January 1968,2
Ace Books January 1969,1
Ace Books January 1971,1
"Ace Books Pub;, USA",2
"Ace Books, .",1
"Ace Books, Inc",1
"Ace Books, Inc, New York",8
"Ace Books, Inc, New York, NY",5
"Ace Books, Inc, New York, NY, U.S.A.",1
"Ace Books, Inc, New York, NY, USA",15
"Ace Books, Inc, New York, New York",5
"Ace Books, Inc.",11
"Ace Books, Inc. , # F-123",1
"Ace Books, Inc. [1954], New York",1
"Ace Books, Inc., New York",17
"Ace Books, Inc., New York, NY, U.S.A.",1
"Ace Books, Inc., USA",2
"Ace Books, Inc., USA.",1
"Ace Books, NY",1
"Ace Books, New York",25
"Ace Books, New York, NY",3
"Ace Books, New York, NY, U.S.A.",19
"Ace Books, New York, NY, USA",15
"Ace Books, New York, New York",3
"Ace Books, New York, New York, U.S.A.",2
"Ace Books, New York, Ny",1
"Ace Books, U.S.A.",2
"Ace Books, United States",5
Ace Books: NY,1
Ace Books:A division of Charter,1
"Ace D Series. New York: A.A. Wynn/Ace Book, Inc. ,",2
"Ace D-99, U.S.",1
Ace Double,7
Ace Double D-36,1
Ace Double G-606,1
Ace Double H-85,1
Ace Double M-101,2
"Ace Double Novel Paperback's., New York, NY, USA.",2
Ace Double Publisher -,1
"Ace Double, NY",1
"Ace Dual M-101, NY",1
"Ace F-123, U.S.",1
Ace F-326,1
Ace F-326 [40c],1
Ace F-422,2
Ace F179,1
Ace G-683,1
Ace G588,1
Ace Hardcover,4
Ace January 1953,1
"Ace M-101, U.S.",1
"Ace Pub., New York",1
Ace Publishing -,1
Ace Publishing Corporation,1
"Ace Publishing Corporation, New York",1
Ace Science Fiction,1
Ace Science Fiction Classic,7
"Ace Science Fiction Classic, NY",2
Ace books,3
Ace double,1
Ace double M 101,1
"Ace, NY",20
"Ace, New York",25
"Ace, New York City",1
Ace. 1963,1
Ace. 1964,2
Ace. 1965,1
Ace. 1966,3
Ace. 1967,2
Ace. [1964].,1
Adamant Media Corporation,2
"Advent Publishers, Chicago",2
Adyar,1
Adyar Editions,1
"Adyar-Verl.,",1
"Adyar-Verlag, Graz",1
Aegypan,4
Aerie,2
Aerie Books Ltd,2
Aerie Books Ltd.,1
Airmont,2
"Airmont Books, Airmont Books",1
"Airmont Books, NY",1
"Airmont Books, New York, New York",1
"Airmont Books., USA",1
Airmont Classics,1
Airmont Pub Co,2
Airmont Publishing Co,1
"Airmont Publishing Co, New York",1
Airmont Publishing Company,3
"Airmont Publishing Company, Incorporated",2
"Airmont Publishing, Airmont Publishing",1
"Airmont Publishing, New York",2
"Airmont, New York",2
"Akademisk forlag : [eksp., DBK]",1
Akadine Pr,2
Aladdin,2
Aladdin Books,5
"Aladdin Books, New York",4
"Aladdin Books, New York, NY",1
Albin Michel,1
Alexis Gregory.,1
Alfaguara,1
Alfred A. Knopf,2
Algonquin Books of Chapel Hill,4
Alianza,1
Alianza Editorial,1
"Alianza Editorial, Madrid",1
"Alianza editorial, Madrid",1
"All Fiction Field, Chicago",1
"All-Fiction Field, NY",2
Allen & Unwin,4
Allen & Unwin Ltd.,1
"Allen & Unwin, London",1
"Allison & Busby, Limited 11",1
Alpha Editions,1
Altemus,1
"Altemus, Philadelphia",1
Amaranth Press,1
"American Heritage Publishing Co., New York, New York, U.S.A.",1
American Literary,1
"American Mercury, Inc.",2
Amsco School Pubns,2
"An Anchor Book/Published by Doubleday/A Division of Bantam Doubleday Dell Publishing Group, Inc., New York, London, et al.",1
Anchor,25
Anchor Books,4
"Anchor Books, Garden City NY",1
"Anchor Books/ Doubleday, New York/ London",1
"Anchor Books/Doubleday & Co., Inc., Garden City",1
Anchor September 1959,2
"Anchor, 1959",12
"Anchor, 1959 January 1959",1
Andesite Press,9
Ann Arbor Editions LLC,2
"Anthropologica Publications, Oosterhout, Netherlands",1
"Anthropological Pub, Oosterhout, Netherlands",1
"Anticipation , fleuve noir,",1
Antimicrobial Therapy,5
Applause Theatre & Cinema Books,1
Appleton Century Crofts,1
"Appleton-Century-Crofts, Inc.",2
Aquamarin- Verlag GmbH,2
Arbor House,6
Arbor House Pub Co,2
Arcadia House,1
"Archaeologia, or Miscellaneous Tracts relating to Antiquity., London",2
"Archibald Constable & Co. ; Hurst, Robinson & Co., Edinburgh",1
"Archibald Constable & Company / Hurst, Robinson & Co, Edinburgh / London",1
Arcturus,1
Arcturus Publishing,2
Arcturus Publishing Ltd,2
Ariel Books,1
Arkana,1
Arkham House,5
Arkham House Pub,3
Arkham House Pub June 1975,2
"Arkham House Pub, New York",1
"Arkham House Pub, Sauk City",1
"Arkham House Pub, Sauk City, Wisconsin, U.S.A.",1
"Arkham House Publishers, Inc.",1
"Arkham House Publishers, Sauk City, WI",1
"Arkham House, 1970.",1
"Arkham House, 1971, 1967,",1
"Arkham House, Sauk City",1
"Arkham House, Sauk City, WI",16
"Arkham House, Sauk City, WI, USA",1
"Arkham House, Sauk City, Wi.",1
"Arkham House, Sauk City, Wisconsin",8
"Arkham House, Sauk City, Wisconson",1
"Arkham House, Sauk City,Wisconsin",1
"Arkham House, Sauk, WI",3
"Arkham House, U.S.A.",3
"Arkham House., Sauk City:",7
"Arkham House; Publisher, Sauk City, WI",2
Arktos Media Ltd.,1
Armchair Fiction & Music,1
"Armenia editore, MILANO",1
Arno Press,1
Arsenal Pulp Press,9
Aspect,1
"Atheneum, NY",1
Atlantic Monthly,1
"Atlantic Publishing, Croxley Green",3
Atriad Press,1
August Derleth Society;,2
Avenal,9
Avendia Publishing Inc.,1
Avenel,3
Avenel Books,10
Avenel Books by Random House,4
"Avenel Books,",2
"Avenel Books, New York",8
"Avenel Books, New York, NY",1
"Avenel, Avenel, New Jersey, U.S.A.",1
Avon,11
Avon 628,2
"Avon Book Co, Inc, New York, NY",1
"Avon Book Co., NY",1
"Avon Book, New York",1
Avon Books,12
Avon Books January 1962,1
Avon Books No. 628. January 1955,1
"Avon Books, New York",1
"Avon Books, New York, NY, U.S.A.",1
"Avon Books., New York, NY, USA.",2
"Avon Books., USA",1
Avon New York 1929,1
Avon S Series. NY: Avon Book Company.,1
"Avon, NY",2
"Avon, New York",5
"Award Books, New York",2
Ayer Co Pub,7
"Ayer Company Publishers, Incorporated",1
Aziloth Books 20,2
B E S Pub Co,1
B&H Publishing Group,2
BALLANTINE,4
BALLANTINE BOOKS,4
"BALLANTINE BOOKS, NEW YORK",1
"BALLANTINE, CANADA",1
"BALLANTINE, U.S",1
"BALLANTINE, U.S.",1
BANTAM,1
BARNES & NOBLE,3
"BARNES & NOBLE, PUB.",2
BARONET BOOKS,2
BBC Audiobooks America,1
BBC Books,2
BBC Physical Audio,2
"BEAGLE BOOKS, New York",2
BELL PUBLISHING,1
"BELL, NY",1
BELMONT,3
BERKLEY,2
BERKLEY BOOKS,1
"BERKLEY BOOKS, NY",1
"BERKLEY G-131, NY",1
BERKLEY MEDALLION,2
BERKLEY PUBLISHING,2
BERKLEY PUBLISHING GROUP,1
"BERKLEY, New York",1
"BERKLEY, U.S.",2
"BRUGUERA. LIBRO AMIGO, BARCELONA, ESPAÑA",1
"Back Bay Bks / Little, Brown",1
Back Bay Books,55
"Back Bay Books, Franklin Center, PA",1
Back Bay Books/Little Brown,2
"Back Bay, 1976",1
Baen,8
