"Author_ID","Name","Notes"
1,T. S. Eliot,
2,George Orwell,
3,Edgar Rice Burroughs,
4,Oscar Wilde,
5,Lin Carter,
6,August Derleth,
7,Emily Dickinson,
8,H. P. Lovecraft,
10,G. McDonald Wallis,
11,Agatha Christie,"Dame Agatha Christie is the world’s best-known mystery writer. Her books have sold over two billion copies worldwide and have been translated into 44 foreign languages.  During a writing career that spanned more than half a century, she created two of the world’s most famous detectives. Hercule Poirot and Miss Jane Marple. The author of 79 novels and short story collections, she was also an accomplished playwright--one of her 14 plays, The Mousetrap, is the longest-running play in history. She published six romantic novels under the pseudonym Mary Westmacott and wrote four non-fiction books, including an autobiography. Several of her books, including Murder on the Orient Express and Death on the Nile, were made into hugely successful films. She died in 1976.                         "
13,Margaret Alice Murray,
14,E. F. Bleiler,Mario Praz (1896-1982) was Professor of English Language and Literature at the University of Rome. The most celebrated of his many other books is The Romantic Agony.                        
17,Betty Swinford,
18,Thomas Bulfinch,
19,E A Wallis Budge,
20,Robert Smith Candlish,
21,Bram Stoker,
22,Philip K. Dick,
23,Ray Bradbury,
24,Terry Carr,
26,Leigh Brackett,
29,Ambrose Bierce,"Ambrose Gwinnett Bierce (June 24, 1842 - circa 1914) was an American editorialist, journalist, short story writer, fabulist, and satirist. He wrote the short story An Occurrence at Owl Creek Bridge and compiled a satirical lexicon, The Devil's Dictionary. His vehemence as a critic, his motto Nothing matters, and the sardonic view of human nature that informed his work, all earned him the nickname Bitter Bierce.  Despite his reputation as a searing critic, Bierce was known to encourage younger writers, including the poets George Sterling and Herman George Scheffauer and the fiction writer W. C. Morrow. Bierce employed a distinctive style of writing, especially in his stories. His style often embraces an abrupt beginning, dark imagery, vague references to time, limited descriptions, impossible events, and the theme of war.  In 1913, Bierce traveled to Mexico to gain first-hand experience of the Mexican Revolution. He was rumored to be traveling with rebel troops, and was not seen again.                        "
30,Ignatius Donnelly,
32,Andrew Lang,"Andrew Lang (March, 31, 1844 July 20, 1912) was a Scottish writer and literary critic who is best known as a collector of folk and fairy tales. Lang s academic interests extended beyond the literary and he was a noted contributor to the fields of anthropology, folklore, psychical research, history, and classic scholarship, as well as the inspiration for the University of St. Andrew s Andrew Lang Lectures. A prolific author, Lang published more than 100 works during his career, including twelve fairy books, in which he compiled folk and fairy tales from around the world. Lang s Lilac Fairy and Red Fairy books are credited with influencing J. R. R. Tolkien, who commented on the importance of fairy stories in the modern world in his 1939 Andrew Lang Lecture On Fairy-Stories.                        "
35,Jane Austen,
36,Eth Clifford,
37,Sterling E. Lanier,
41,Charles Dickens,
44,Ambrose. Bierce,
45,Caroline Leavitt,
47,Fredric Brown,
48,Bierce Ambrose,"Journalist, short story writer, and satirist Ambrose Bierce (1842–1914) was equally adept in a variety of genres, from ghost stories to poetry to political commentary. Bierce's fiction is particularly distinguished by its realistic depictions of the author's Civil War experiences.                        "
50,Margaret St. Clair,
52,J.R. R Tolkien,
53,Helena P. Blavatsky,
56,Fritz Leiber,
58,William Shakespeare,
60,Ralph Waldo Emerson,"Ralph Waldo Emerson (1803-1882) was an American essayist, lecturer, and poet who led the transcendentalist movement of the mid-nineteenth century. Although he began his career as a Unitarian minister, he gradually moved away from the religious and social beliefs of his contemporaries, formulating and expressing the philosophy of transcendentalism instead. Seen as a champion of individualism and a prescient critic of the countervailing pressures of society, he disseminated his thoughts through published essays and public lectures across the United States.                        "
61,Walter Miller,
63,Chris Crutcher,"Nancy Werlin is a New York Times bestselling author, National Book Award Finalist, and Edgar Award winner. She lives with her husband near Boston.                        "
75,Bulfinch Thomas,
76,Robert Bloch,
78,Robert Giraud,
82,Maurus JÃ kai,"Móric Jókay de Ásva (1825 - 1904), outside Hungary also known as Maurus Jokai, was a Hungarian dramatist and novelist. Jókai was extremely prolific. It was to literature that he continued to devote most of his time and his productiveness after 1870 was stupendous, amounting to some hundreds of volumes. Stranger still, none of this work is slipshod and the best of it deserves to endure. Amongst the finest of his later works may be mentioned the unique and incomparable Az arany ember (A Man of Gold, translated into English, among others, under the title The Man with the Golden Touch), the most popular A koszívu ember fiai (The Heartless Man's Sons), the heroic chronicle of the Hungarian Revolution of 1848 and A tengerszemu hölgy (Eyes like the Sea), the latter of which won the Academy's prize in 1890. He was also an amateur chess player. His jövo század regénye (The novel of the next century - 1872) is accounted an important early work of Science Fiction though the term did not yet exist at the time. In spite of its romantic trappings, this monumental two-volume novel includes some acute observations and almost prophetic visions, such as the prediction of a revolution in Russia and the establishment of a totalitarian state there, or the arrival of aviation. Because it could be read as a satirical allegory on Leninism and Stalinism in the Soviet Union, the book was banned in Hungary in the decades of the Communist régime. (Its Critical Edition was delayed until 1981.)                        "
83,Helena Petrovna Blavatsky,
85,Otto Willi Gail,
