"Book_ID","Title","Release_Date","Location"
2826479,BRAVE HORSE - THE STORY OF JANUS,1968,???
5789790,THE COMING OF THE TERRANS,1967,???
5789908,THONGOR AGAINST THE GODS,1967,???
5789909,THE WARRIOR OF WORLD'S END,1974,???
7838748,"Concord Rebel, a Life of Henry David Thoreau",1962,???
8012255,"THE AGE OF FABLE; or, Stories of Gods and Heroes. Introductory Essay by Dudley Fitts. Illustrated by Joe Mugnaini.",1958,???
8139693,Atlantis The Antediluvian World A Modern Revised Edition,1949,???
8150199,Report of the Pine Land Investigating Committee to the Governor of Minnesota.five thousand copies ordered printed for the use of the legislature,1895,???
8150205,Contested election case of Ignatius Donnelly versus William D. Washburn. contestants brief [cover title],1879,???
8915760,Countryman's Journal,1963,???
9422999,Thrilling Wonder Stories Vol.1 No.3 British Edition June 1950 (The Lure of Polaris; The Lake of the Gone Forever; Cold War),1950,???
10374155,Harrigan's File,1975,???
11033829,Countryman's Journal.,1963,???
11184767,"Atlantis: The Antediluvian World, A Modern Revised Edition",,???
11941360,GHOST AND HORROR STORIES OF,1964,???
13230268,THE SECRET OF SINHARAT/PEOPLE OF THE TALISMAN,1964,???
13230271,THE CHRONICLES OF SOLAR PONS,1974,???
16303999,The Chronicles of Solar Pons,1973,???
17722731,THE OUTER REACHES Van Vogt Asimov Sturdeon Simak Bradbury,,???
17722732,BEACHHEADS IN SPACE asimov,,???
18232751,The sonnets of Shakespeare: an essay. Printed for private distribution,1859,???
18455449,WALDEN WEST,1961,???
18968066,FLASHING SWORDS #3: WARRIORS AND WIZARDS,1976,???
19505856,Atlantis: The Antedilluvian World.,1949,???
19559446,THE BEST OF EDMOND HAMILTON,1966,???
20313393,KING KULL,1972,???
21419752,WORLDS OF TOMORROW Clarke Leiber Tenn Sturgeon Derleth,,???
21726951,Egyptian Language: Easy Lessons in Egyptian Hieroglyphics with Sign List,1970,???
22501613,FLASHING SWORDS! #4: BARBARIANS AND BLACK MAGICIANS,1977,???
23347917,THE COMING OF THE TERRANS gga,,???
24246484,"The Dwellers on the Nile: The Life, History, Religion and Literture of the Ancient Egyptians",1977,???
25402700,THE ATLANTIC MONTHLY: DECEMBER 1935,,???
