"Book_ID","Publisher"
2826479,Holt Rinehart 1968 World Famous Horse Libary Selection
5789790,Ace. 1967
5789908,Paperback Library 1967
5789909,Daw. 1974
7838748,Chilton Books. 1962. 1st edition.
8012255,"Heritage Press, New York: (1958)."
8139693,"Gramercy Publ, NY, 1949"
8150199,"Pioneer Press Co, St. Paul"
8150205,"West Publishing Co, Saint Paul"
8915760,Duell Sloan 1963
9422999,London: Morrison & Gibb June 1950 Pulp Magazine
10374155,"Arkham House, Sauk City, WI"
11033829,"Duell, Sloan and Pearce, NY"
11184767,"Gramercy, NY"
11941360,Dover 1964
13230268,Ace. 1964
13230271,Pinnacle. 1974.
16303999,"Mycroft & Moran, Sauk City, Wisconsin"
17722731,Berkley
17722732,Berkley 0 425 103 45 5
18232751,"Geo. W. Moore, Saint Paul"
18455449,DUELL SLOAN AND PEARCE COPYRIGHT
18968066,Dell. 1976
19505856,Gramercy
19559446,Doubleday. (1966).
20313393,Lancer. 1972
21419752,Berkley
21726951,"Routledge & Kegan Paul, London"
22501613,"Nelson Doubleday, Inc., New York"
23347917,Ace
24246484,Dover Publications 1977 New York
25402700,
25845949,"Derleth, August., Arkham House, 1975, c1975,"
25847721,"w/intro essay by Dudley Fitts., The Heritage Press, nd, c1958,"
27059037,"Gramercy Publishing Company, New York"
29114167,Ace. 1966
29391816,"Dell, 1966"
29942480,"Candlelight Press, New York"
29948319,"Dover Pub., Inc., nd, c1963 ("
30921062,Tandem
32283616,Fawcett/Gold Medal
32484944,Signet. 1969
32484945,Paperback Library. 1966
35134460,"NY: Scribner, 1939"
35291455,Berkley Medallion
40813675,Daw
42478705,"Programmed Classics, 1968"
46718605,Daw
49405394,
49405476,
49405477,
49589213,Ace. 1964
50349898,"Belmont Tower Books, New York"
51727652,Ballantine Books New York 1975
52767188,"Ballantine Books, N.Y."
52958569,"Nelson Doubleday, Inc., New York"
53288257,"J. E. Tilton, boston"
54347660,Lancer. 1971
57341513,"Charles Scribner's Sons, New York"
57369327,"Ballantine Fantasy, 1976"
57960667,"1949."
58083459,Ballantine
59118317,"New York: Causeway Books, nd"
59323711,Dell
59774732,"Candlelight Press, NY"
59868080,"DAW Books, New York"
59876390,"Gramercy, New York, NY, U.S.A."
60871419,"ACE, 1964"
60883878,New York: Causeway Books [1974].
61312364,Tower
62351857,Nelson Doubleday Inc. 1977
62351863,Nelson Doubleday Inc. 1973
62486293,Rinehart and Co. Inc. 1954
63847237,"1955 Vision Books Farrar, Strauss & Cudahy New York"
64344236,
65620710,"Pyramid, New York"
65621722,Ace Double
65673800,"N.Y.: Doubleday, 1976"
65853181,"Ballantine Books, USA."
66711815,"Duell, Sloan, & Pearce New York 1963"
69200906,Ace. 1966
69711061,Ballantine Books
70485757,"Gramercy Publishing Co., New York"
71652978,Avenel Books
71936075,Philadelphia:Ritten House. 1938. Hardcover.
71946373,N.Y:Candlelight Press. 1970. Hardcover.
71946375,N.Y:Duell Sloan Pearce Publishers. 1961. Hardcover.
71951675,N.Y:Crowell Collier. 1970. Hardcover.
71954541,Evanston:Northwestern University Press. 1958. Hardcover.
71991916,"Modern Library, New York: nd. nd., New York:"
72195263,Gramercy
72217938,"Stanton & Lee Publishers, Sauk City, Wisconsin: 1969., Sauk City, Wisconsin:"
72585199,"Causeway Books, nd, c1974,"
73525339,"Avenel Books, New York"
74267172,World Pub.(1945)
74583242,"1st.Sampson Low Marston Searle & Rivington: London"
75161672,"N.Y.: Signet, 1970"
75326809,
76645772,Strato Pub.
76653778,Thorpe and Porter
76653798,Thorpe and Porter
76653800,Thorpe and Porter
76653804,Thorpe and Porter
76738359,Crowell-Collier Press
77404867,"David McKay, Philadelphia"
80167542,"New York: Ballantine, 1973, pb, 1st."
80381323,"Arkham House, Sauk City,Wisconsin"
80432926,"Rinehart And Co., New York"
80650208,Ballantine
81001641,"Nelson Doubleday, Garden City"
81080618,"Bell Pub., New York"
81084402,"Gramercy Pub. Co., New York"
81958212,"Wheaton, Ill Theosophical Publ House 1966."
83207534,New York DAW Books 1977.
83553429,"Little, brown and Company, Boston, MA"
83694333,"Berkley., NY:"
83937837,"Kurt H. Volk, New York"
86167820,"Little Brown, Boston"
86460727,Gramercy Books
88124996,"New York: Candlelight Press, 1970"
88289157,"Arkham House, Sauk City, WI, USA"
88327549,Belmont. 1972
88327553,Berkley. 1976
88327561,Daw. 1974
92560776,"Nelson Doubleday, Inc., New York"
93651659,"Signet, 1969"
93651687,"Paperback Library, 1968"
93782038,"S.w> Tilton & Co. / Dewolfe, Fiske & Co., Boston"
94519855,Ace Books Inc. 1965
94519859,"Fawcett, 1973"
94519861,"Dell, 1973"
94682126,Routledge and Kegan Paul
94990121,"Nelson Doubleday, 1973"
95933827,Daw Books Inc. 1974
95982329,"A Berkley Medallion Book, 1970"
96377151,"Nelson Doubleday, 1973"
96613293,"Constable & Co., Edinburgh"
96728543,"Doubleday, NY"
