"Book_ID","Binding","Grade"
2826479,unknown binding,fine / like new
5789790,soft cover,good
5789908,soft cover,
5789909,hardcover,
7838748,hardcover,
8012255,hardcover,
8139693,hardcover,
8150199,soft cover,
8150205,soft cover,
8915760,hardcover,
9422999,soft cover,fine / like new
10374155,hardcover,good
11033829,hardcover,near fine
11184767,hardcover,good
11941360,soft cover,
13230268,soft cover,
13230271,soft cover,fine / like new
16303999,hardcover,fine / like new
17722731,,
17722732,,
18232751,soft cover,
18455449,hardcover,good
18968066,soft cover,
19505856,hardcover,fine / like new
19559446,hardcover,
20313393,soft cover,
21419752,,
21726951,hardcover,fine / like new
22501613,hardcover,fine / like new
23347917,,
24246484,hardcover,
25402700,,
25845949,hardcover,
25847721,hardcover,
27059037,,
29114167,soft cover,
29391816,soft cover,
29942480,hardcover,fine / like new
29948319,soft cover,
30921062,paperback,good
32283616,paperback,fine / like new
32484944,soft cover,
32484945,soft cover,
35134460,hardcover,fine / like new
35291455,paperback,near fine
40813675,paperback,good
42478705,hardcover,good
46718605,paperback,fine / like new
49405394,hardcover,
49405476,soft cover,
49405477,soft cover,
49589213,soft cover,
50349898,soft cover,good
51727652,soft cover,
52767188,paperback,good
52958569,hardcover,good
53288257,hardcover,good
54347660,soft cover,
57341513,hardcover,good
57369327,soft cover,
57960667,hardcover,
58083459,paperback,fine / like new
59118317,hardcover,fine / like new
59323711,soft cover,good
59774732,cloth / hardboard,near fine
59868080,paperback,near fine
59876390,hardcover,fine / like new
60871419,,
60883878,,
61312364,soft cover,good
62351857,hardcover,
62351863,hardcover,
62486293,hardcover,
63847237,,
64344236,hardcover,good
65620710,paperback,fine / like new
65621722,paperback,fine / like new
65673800,hardcover,
65853181,soft cover,new
66711815,hardcover,
69200906,hardcover,
69711061,paperback,fine / like new
70485757,hardcover,good
71652978,hardcover,fine / like new
71936075,,
71946373,,
71946375,,
71951675,,
71954541,,
71991916,hardcover,
72195263,,near fine
72217938,hardcover,
72585199,hardcover,
73525339,hardcover,good
74267172,,
74583242,hardcover,
75161672,soft cover,
75326809,soft cover,
76645772,paperback,fine / like new
76653778,paperback,fine / like new
76653798,paperback,fine / like new
76653800,paperback,fine / like new
76653804,paperback,fine / like new
76738359,hardcover,
77404867,cloth / hardboard,fair
80167542,soft cover,
80381323,hardcover,new
80432926,hardcover,good
80650208,paperback,fine / like new
81001641,hardcover,fine / like new
81080618,cloth / hardboard,good
81084402,hardcover,good
81958212,hardcover,
83207534,,
83553429,soft cover,good
83694333,,
83937837,hardcover,near fine
86167820,paperback,fine / like new
86460727,hardcover,poor
88124996,,
88289157,hardcover,fine / like new
88327549,soft cover,
88327553,soft cover,
88327561,soft cover,
92560776,hardcover,good
93651659,soft cover,
93651687,,
93782038,cloth / hardboard,fine / like new
94519855,soft cover,
94519859,soft cover,
94519861,soft cover,
94682126,hardcover,fine / like new
94990121,hardcover,
95933827,soft cover,
95982329,soft cover,
96377151,hardcover,
96613293,hardcover,fair
96728543,hardcover,
96728547,hardcover,
97143634,wraps,good
98016620,,fine / like new
98082467,soft cover,
98082475,soft cover,
98716627,soft cover,
99434603,soft cover,
99706731,hardcover,
104346672,soft cover,good
104810526,soft cover,fine / like new
104990066,soft cover,
105112880,,good
107350406,hardcover,fine / like new
108755552,paperback,fair
114761838,hardcover,
118080872,unknown binding,
118335126,hardcover,
119929444,paperback,fine / like new
119956640,soft cover,
121220168,cloth / hardboard,fine / like new
122559422,paperback,good
125079360,hardcover,good
126034900,hardcover,fair
126617262,paperback,fine / like new
127092684,hardcover,
129127630,,
132132764,hardcover,fine / like new
132528312,hardcover,fine / like new
133460406,soft cover,
137943804,hardcover,fine / like new
140933246,paperback,fine / like new
